method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits
link_bridge_a1p15_p0p03,1.15,0.03,all,50,7405,6154,1251,0.8310600945307225,0.8964213369345038,0.8911546252532073,30.94382174206617,0
link_bridge_a1p15_p0p06,1.15,0.06,train,5,5183,972,4211,0.1875361759598688,0.5793941732587304,0.38992861277252555,4.707505305807447,0
link_bridge_a1p15_p0p06,1.15,0.06,train,10,5183,2295,2888,0.4427937487941347,0.7412695350183292,0.6207794713486398,9.24696121937102,0
link_bridge_a1p15_p0p06,1.15,0.06,train,20,5183,3336,1847,0.6436426779857225,0.8325294231140267,0.7699208952344202,18.168628207601774,0
link_bridge_a1p15_p0p06,1.15,0.06,train,50,5183,4310,873,0.8315647308508586,0.897163804746286,0.8917615280725448,31.01350569168435,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,5,1110,194,916,0.17477477477477477,0.5495495495495496,0.36711711711711714,4.711711711711712,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,10,1110,492,618,0.44324324324324327,0.7171171171171171,0.6085585585585586,9.227027027027027,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,20,1110,704,406,0.6342342342342342,0.8162162162162162,0.7594594594594595,18.111711711711713,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.7009009009009,0
link_bridge_a1p15_p0p06,1.15,0.06,test,5,1112,195,917,0.17535971223021582,0.5782374100719424,0.37859712230215825,4.719424460431655,0
link_bridge_a1p15_p0p06,1.15,0.06,test,10,1112,505,607,0.454136690647482,0.7464028776978417,0.6245503597122302,9.20593525179856,0
link_bridge_a1p15_p0p06,1.15,0.06,test,20,1112,729,383,0.6555755395683454,0.8300359712230215,0.7724820143884892,18.08363309352518,0
link_bridge_a1p15_p0p06,1.15,0.06,test,50,1112,939,173,0.8444244604316546,0.89568345323741,0.897931654676259,30.774280575539567,0
link_bridge_a1p15_p0p06,1.15,0.06,all,5,7405,1361,6044,0.1837947332883187,0.57474679270763,0.3848075624577988,4.709925725860905,0
link_bridge_a1p15_p0p06,1.15,0.06,all,10,7405,3292,4113,0.44456448345712357,0.738419986495611,0.6195138419986496,9.237812288993924,0
link_bridge_a1p15_p0p06,1.15,0.06,all,20,7405,4769,2636,0.6440243079000675,0.8297096556380824,0.7687373396353815,18.147332883187037,0
link_bridge_a1p15_p0p06,1.15,0.06,all,50,7405,6157,1248,0.8314652261985145,0.8964213369345038,0.8913571910871033,30.930722484807564,0
